"idx","tic","Name","LastSale","MarketCap","IPOyear","Sector","Industry","Exchange","MarketCap1","X1","X2","X3","X4","X5","X6","score","tic.y"
1494,"trex","Trex Company, Inc.",61.78,"$1.81B",2000,"Basic Industries","Forest Products","NYSE",1810,0,0.01,0,0.38,0.46,0.48,-3.42947844987649,"trex"
1507,"tsl","Trina Solar Limited",10.54,"$975.82M",2006,"Technology","Semiconductors","NYSE",975.82,0,0,0,0.44,0.55,0.57,-3.4334545746344,"tsl"
1345,"shpg","Shire plc",190.68,"$57.22B",2000,"Health Care","Major Pharmaceuticals","NASDAQ",57220,-0.01,-0.02,0,0.73,0.75,0.83,-3.43764106648556,"shpg"
1452,"tdg","Transdigm Group Incorporated",284.72,"$15.17B",2006,"Capital Goods","Military/Government/Technical","NYSE",15170,0,0,0,0.39,0.56,0.58,-3.44350348119565,"tdg"
783,"inin","Interactive Intelligence Group, Inc.",57.21,"$1.27B",1999,"Technology","Computer Software: Prepackaged Software","NASDAQ",1270,-0.01,0,0,0.54,0.63,0.63,-3.45497238760719,"inin"
609,"fslr","First Solar, Inc.",37.53,"$3.84B",2006,"Technology","Semiconductors","NASDAQ",3840,0.01,-0.01,0,0.6,0.48,0.57,-3.4556894417788,"fslr"
491,"eep","Enbridge Energy, L.P.",23.67,"$10.23B",2000,"Energy","Natural Gas Distribution","NYSE",10230,0,-0.02,0,0.58,0.72,0.74,-3.48377745886523,"eep"
1372,"sni","Scripps Networks Interactive, Inc",63.37,"$8.18B",2000,"Consumer Services","Television Services","NASDAQ",8180,-0.01,0,0,0.51,0.62,0.64,-3.49299060418567,"sni"
141,"awi","Armstrong World Industries Inc",43.98,"$2.44B",2000,"Consumer Non-Durables","Plastic Products","NYSE",2440,0,0,-0.01,0.57,0.52,0.81,-3.49433700811578,"awi"
248,"cald","Callidus Software, Inc.",19.66,"$1.12B",2003,"Technology","EDP Services","NASDAQ",1120,-0.01,-0.01,0.01,0.36,0.53,0.65,-3.5027377208709,"cald"
784,"inov","Inovalon Holdings, Inc.",15.46,"$2.36B",2015,"Technology","EDP Services","NASDAQ",2360,0,0.01,0,0.38,0.4,0.5,-3.52650714221702,"inov"
1367,"smg","Scotts Miracle-Gro Company (The)",81.31,"$4.93B",1992,"Basic Industries","Agricultural Chemicals","NYSE",4930,0,0,0,0.45,0.5,0.58,-3.52741141124731,"smg"
962,"mgln","Magellan Health, Inc.",56.18,"$1.38B",2000,"Health Care","Hospital/Nursing Management","NASDAQ",1380,-0.02,-0.01,0,0.8,0.71,0.79,-3.54299587985812,"mgln"
1022,"musa","Murphy USA Inc.",73.52,"$2.88B",2013,"Consumer Durables","Automotive Aftermarket","NYSE",2880,-0.01,0,0,0.47,0.65,0.62,-3.56022813984894,"musa"
1562,"uscr","U S Concrete, Inc.",54.78,"$834.38M",2000,"Capital Goods","Building Materials","NASDAQ",834.38,-0.03,0.01,0,0.63,0.69,0.67,-3.5669964662242,"uscr"
1092,"nxst","Nexstar Broadcasting Group, Inc.",51.51,"$1.58B",2003,"Consumer Services","Broadcasting","NASDAQ",1580,-0.02,-0.01,0,0.9,0.69,0.76,-3.56875722686745,"nxst"
539,"etp","ENERGY TRANSFER PARTNERS",39.91,"$20.89B",2000,"Public Utilities","Natural Gas Distribution","NYSE",20890,0,-0.01,0,0.32,0.58,0.74,-3.57382167859946,"etp"
1019,"mtz","MasTec, Inc.",30.04,"$2.47B",2000,"Basic Industries","Water Supply","NYSE",2470,-0.01,0,0,0.46,0.62,0.64,-3.58035650631279,"mtz"
364,"cps","Cooper-Standard Holdings Inc.",98.36,"$1.7B",2000,"Capital Goods","Auto Parts:O.E.M.","NYSE",1700,-0.01,0.01,0,0.6,0.47,0.51,-3.59910042617794,"cps"
966,"mhld","Maiden Holdings, Ltd.",13.84,"$1.02B",2000,"Finance","Property-Casualty Insurers","NASDAQ",1020,0,0,0,0.58,0.52,0.5,-3.60421767590342,"mhld"
1037,"nclh","Norwegian Cruise Line Holdings Ltd.",35.8,"$8.13B",2013,"Consumer Services","Marine Transportation","NASDAQ",8130,-0.01,-0.02,0,0.81,0.77,0.74,-3.64767239340064,"nclh"
593,"fltx","Fleetmatics Group PLC",59.9,"$2.35B",2012,"Technology","Computer Software: Prepackaged Software","NYSE",2350,0,0,0,0.22,0.66,0.53,-3.65526499474673,"fltx"
508,"endp","Endo International plc",21.03,"$4.68B",2000,"Health Care","Major Pharmaceuticals","NASDAQ",4680,0,-0.03,0,0.51,0.9,0.78,-3.66108021090655,"endp"
1148,"pbh","Prestige Brand Holdings, Inc.",48.04,"$2.54B",2005,"Health Care","Major Pharmaceuticals","NYSE",2540,0,0,-0.01,0.58,0.68,0.66,-3.66142586272338,"pbh"
1143,"payc","Paycom Software, Inc.",51.28,"$3.07B",2014,"Technology","Computer Software: Prepackaged Software","NYSE",3070,0,0.01,-0.01,0.42,0.54,0.64,-3.66845659846703,"payc"
1601,"vsto","Vista Outdoor Inc.",39.04,"$2.36B",2015,"Capital Goods","Ordnance And Accessories","NYSE",2360,0,0,-0.01,0.56,0.51,0.78,-3.68084550437076,"vsto"
595,"fmsa","Fairmount Santrol Holdings Inc.",7.36,"$1.41B",2014,"Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","NYSE",1410,-0.02,-0.02,0,1,0.73,0.84,-3.70598896722567,"fmsa"
1227,"pzza","Papa John&#39;S International, Inc.",74.45,"$2.75B",1993,"Consumer Services","Restaurants","NASDAQ",2750,-0.01,0,0,0.55,0.61,0.58,-3.72971067870903,"pzza"
348,"cone","CyrusOne Inc",49.83,"$3.99B",2013,"Consumer Services","Real Estate Investment Trusts","NASDAQ",3990,-0.01,0,0,0.5,0.52,0.66,-3.73332381868777,"cone"
502,"ely","Callaway Golf Company",11.4,"$1.07B",1992,"Consumer Non-Durables","Recreational Products/Toys","NYSE",1070,0,-0.01,0,0.57,0.53,0.64,-3.75287294645239,"ely"
871,"lc","LendingClub Corporation",5.4,"$2.11B",2014,"Miscellaneous","Business Services","NYSE",2110,-0.02,0,-0.01,0.65,0.78,0.86,-3.753486565749,"lc"
605,"foxa","Twenty-First Century Fox, Inc.",24.54,"$29.96B",2000,"Consumer Services","Television Services","NASDAQ",29960,0,-0.01,-0.01,0.63,0.63,0.83,-3.75641158292849,"foxa"
499,"elgx","Endologix, Inc.",11.63,"$958M",2000,"Health Care","Medical/Dental Instruments","NASDAQ",958,0.01,0,0,0.27,0.41,0.5,-3.76885519737563,"elgx"
582,"fit","Fitbit, Inc.",14.67,"$3.26B",2015,"Technology","Computer Manufacturing","NYSE",3260,-0.01,0.01,-0.01,0.61,0.63,0.64,-3.776412912968,"fit"
1029,"n","Netsuite Inc",108.94,"$8.82B",2007,"Technology","Computer Software: Prepackaged Software","NYSE",8820,0,0,0,0.4,0.51,0.53,-3.8126152785996,"n"
899,"lock","LifeLock, Inc.",16.93,"$1.57B",2012,"Technology","EDP Services","NYSE",1570,0,0,-0.01,0.54,0.72,0.61,-3.83478304334814,"lock"
429,"depo","Depomed, Inc.",19.7,"$1.21B",2000,"Health Care","Major Pharmaceuticals","NASDAQ",1210,0,-0.02,-0.01,0.74,0.84,0.8,-3.84583770193292,"depo"
383,"csra","CSRA Inc.",25.77,"$4.22B",2015,"Technology","EDP Services","NYSE",4220,0,0,-0.01,0.45,0.6,0.72,-3.86508493093516,"csra"
324,"cmcm","Cheetah Mobile Inc.",11.71,"$1.67B",2014,"Technology","Computer Software: Prepackaged Software","NYSE",1670,0,0,-0.03,0.69,0.82,1.04,-3.87472332870522,"cmcm"
1069,"nsp","Insperity, Inc.",66.79,"$1.43B",2000,"Technology","Professional Services","NYSE",1430,0,0,0,0.61,0.43,0.49,-3.8807778136653,"nsp"
765,"iep","Icahn Enterprises L.P.",48,"$6.63B",2000,"Energy","Integrated oil Companies","NASDAQ",6630,-0.02,-0.02,-0.02,1.1,1.04,1.11,-3.90642717270457,"iep"
1278,"rog","Rogers Corporation",56.22,"$1.01B",2000,"Basic Industries","Major Chemicals","NYSE",1010,-0.01,0,0,0.5,0.52,0.62,-3.91676045921512,"rog"
1694,"zg","Zillow Group, Inc.",34.13,"$6.15B",2011,"Miscellaneous","Business Services","NASDAQ",6150,0.01,-0.01,-0.01,0.37,0.65,0.72,-3.92918210308135,"zg"
1401,"st","Sensata Technologies Holding N.V.",38.49,"$6.58B",2010,"Capital Goods","Industrial Machinery/Components","NYSE",6580,0,0,0,0.34,0.43,0.58,-3.93982124396524,"st"
880,"lgnd","Ligand Pharmaceuticals Incorporated",103.55,"$2.16B",2000,"Health Care","Major Pharmaceuticals","NASDAQ",2160,0,-0.01,-0.01,0.49,0.78,0.74,-3.94190101856047,"lgnd"
1313,"sbs","Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp",8.77,"$5.99B",2002,"Public Utilities","Water Supply","NYSE",5990,-0.01,-0.01,-0.01,1.06,0.67,0.75,-3.96917402544413,"sbs"
20,"achc","Acadia Healthcare Company, Inc.",50.75,"$4.44B",2000,"Health Care","Medical Specialities","NASDAQ",4440,0,-0.01,-0.01,0.82,0.66,0.69,-3.97207589038905,"achc"
614,"ftr","Frontier Communications Corporation",4.61,"$5.41B",2000,"Public Utilities","Telecommunications Equipment","NASDAQ",5410,0,-0.01,-0.01,0.67,0.62,0.76,-4.0389908175837,"ftr"
1340,"shen","Shenandoah Telecommunications Co",25.02,"$1.22B",2000,"Public Utilities","Telecommunications Equipment","NASDAQ",1220,-0.04,0,0,0.62,0.68,0.91,-4.04304306781322,"shen"
1470,"thc","Tenet Healthcare Corporation",23.22,"$2.31B",2000,"Health Care","Hospital/Nursing Management","NYSE",2310,-0.01,-0.01,-0.01,0.67,0.73,0.84,-4.04914860824497,"thc"
749,"hznp","Horizon Pharma plc",19.43,"$3.13B",2011,"Health Care","Major Pharmaceuticals","NASDAQ",3130,0.01,-0.06,0,0.97,0.97,0.84,-4.05289134322731,"hznp"
639,"gkos","Glaukos Corporation",29.76,"$982.8M",2015,"Health Care","Medical/Dental Instruments","NYSE",982.8,0.03,-0.02,-0.03,0.75,0.9,0.86,-4.09474226077615,"gkos"
750,"iac","IAC/InterActiveCorp",57.19,"$4.55B",2000,"Consumer Services","Other Specialty Stores","NASDAQ",4550,0,-0.01,0,0.47,0.53,0.6,-4.111041391234,"iac"
1237,"quad","Quad Graphics, Inc",27.7,"$1.39B",2000,"Miscellaneous","Publishing","NYSE",1390,-0.02,0,0,0.64,0.55,0.66,-4.11739304792007,"quad"
1588,"vnet","21Vianet Group, Inc.",8.87,"$1.01B",2011,"Technology","Computer Software: Programming, Data Processing","NASDAQ",1010,0.01,-0.01,-0.04,0.4,0.87,1.36,-4.13254428144045,"vnet"
1545,"uhs","Universal Health Services, Inc.",119.45,"$11.63B",2000,"Health Care","Hospital/Nursing Management","NYSE",11630,-0.01,0,-0.01,0.51,0.58,0.81,-4.13349633955449,"uhs"
